order,problem_id,condition,model_slot,cell_id
82,P20,B,M3,P20-B-M3
83,P19,A,M2,P19-A-M2
84,P09,A,M1,P09-A-M1
85,P26,C,M3,P26-C-M3
86,P18,B,M4,P18-B-M4
87,P27,A,M2,P27-A-M2
88,P04,C,M2,P04-C-M2
89,P11,B,M1,P11-B-M1
90,P15,B,M3,P15-B-M3
91,P10,C,M1,P10-C-M1
92,P30,A,M3,P30-A-M3
93,P01,C,M2,P01-C-M2
94,P14,B,M4,P14-B-M4
95,P29,C,M1,P29-C-M1
96,P24,B,M3,P24-B-M3
97,P05,A,M4,P05-A-M4
98,P08,A,M2,P08-A-M2
99,P22,C,M4,P22-C-M4
100,P17,C,M1,P17-C-M1
101,P02,C,M4,P02-C-M4
102,P25,A,M4,P25-A-M4
103,P03,A,M1,P03-A-M1
104,P13,C,M2,P13-C-M2
105,P27,C,M4,P27-C-M4
106,P21,B,M2,P21-B-M2
107,P07,C,M1,P07-C-M1
108,P26,A,M2,P26-A-M2
109,P18,A,M4,P18-A-M4
110,P20,C,M1,P20-C-M1
111,P24,A,M1,P24-A-M1
112,P06,C,M4,P06-C-M4
113,P28,A,M3,P28-A-M3
114,P09,B,M4,P09-B-M4
115,P12,C,M4,P12-C-M4
116,P02,A,M2,P02-A-M2
117,P19,C,M1,P19-C-M1
118,P23,A,M3,P23-A-M3
119,P15,A,M2,P15-A-M2
120,P30,C,M3,P30-C-M3
121,P10,B,M1,P10-B-M1
122,P25,B,M4,P25-B-M4
123,P21,A,M1,P21-A-M1
124,P04,A,M2,P04-A-M2
125,P07,A,M4,P07-A-M4
126,P11,B,M3,P11-B-M3
127,P01,A,M2,P01-A-M2
128,P16,A,M1,P16-A-M1
129,P29,A,M3,P29-A-M3
130,P20,A,M4,P20-A-M4
131,P22,B,M1,P22-B-M1
132,P18,C,M4,P18-C-M4
133,P03,B,M3,P03-B-M3
134,P27,B,M2,P27-B-M2
135,P05,B,M2,P05-B-M2
136,P24,C,M1,P24-C-M1
137,P17,B,M3,P17-B-M3
138,P26,C,M1,P26-C-M1
139,P09,C,M3,P09-C-M3
140,P30,B,M1,P30-B-M1
141,P14,C,M4,P14-C-M4
142,P28,B,M2,P28-B-M2
143,P06,B,M1,P06-B-M1
144,P12,A,M4,P12-A-M4
145,P02,B,M4,P02-B-M4
146,P21,C,M4,P21-C-M4
147,P19,B,M3,P19-B-M3
148,P16,B,M3,P16-B-M3
149,P25,C,M3,P25-C-M3
150,P23,B,M4,P23-B-M4
151,P04,B,M3,P04-B-M3
152,P08,C,M3,P08-C-M3
153,P15,B,M4,P15-B-M4
154,P03,C,M1,P03-C-M1
155,P27,A,M4,P27-A-M4
156,P29,B,M3,P29-B-M3
157,P20,C,M2,P20-C-M2
158,P26,B,M3,P26-B-M3
159,P01,B,M4,P01-B-M4
160,P22,A,M1,P22-A-M1
161,P09,A,M4,P09-A-M4
162,P11,C,M1,P11-C-M1
163,P24,B,M2,P24-B-M2
164,P05,C,M4,P05-C-M4
165,P14,A,M1,P14-A-M1
166,P17,A,M2,P17-A-M2
167,P18,B,M1,P18-B-M1
168,P10,A,M3,P10-A-M3
169,P07,B,M3,P07-B-M3
170,P23,C,M4,P23-C-M4
171,P12,B,M3,P12-B-M3
172,P25,A,M3,P25-A-M3
173,P30,C,M4,P30-C-M4
174,P02,C,M3,P02-C-M3
175,P03,A,M4,P03-A-M4
176,P16,C,M1,P16-C-M1
177,P20,B,M1,P20-B-M1
178,P28,C,M1,P28-C-M1
179,P01,A,M3,P01-A-M3
180,P27,C,M1,P27-C-M1
181,P15,C,M4,P15-C-M4
182,P29,A,M1,P29-A-M1
183,P21,B,M4,P21-B-M4
184,P08,B,M3,P08-B-M3
185,P06,A,M3,P06-A-M3
186,P04,C,M4,P04-C-M4
187,P26,A,M4,P26-A-M4
188,P09,B,M2,P09-B-M2
189,P22,C,M2,P22-C-M2
190,P24,A,M4,P24-A-M4
191,P14,B,M1,P14-B-M1
192,P11,A,M4,P11-A-M4
193,P19,A,M4,P19-A-M4
194,P10,B,M4,P10-B-M4
195,P05,A,M3,P05-A-M3
196,P17,C,M4,P17-C-M4
197,P02,A,M1,P02-A-M1
198,P13,B,M1,P13-B-M1
199,P30,B,M3,P30-B-M3
200,P21,A,M3,P21-A-M3
201,P25,B,M3,P25-B-M3
202,P18,A,M1,P18-A-M1
203,P07,C,M4,P07-C-M4
204,P28,A,M4,P28-A-M4
205,P23,B,M1,P23-B-M1
206,P01,C,M1,P01-C-M1
207,P12,A,M1,P12-A-M1
208,P26,B,M2,P26-B-M2
209,P15,A,M3,P15-A-M3
210,P03,B,M4,P03-B-M4
211,P29,C,M3,P29-C-M3
212,P20,A,M1,P20-A-M1
213,P04,A,M3,P04-A-M3
214,P16,B,M4,P16-B-M4
215,P09,C,M2,P09-C-M2
216,P27,B,M4,P27-B-M4
217,P19,C,M2,P19-C-M2
218,P11,B,M2,P11-B-M2
219,P30,A,M1,P30-A-M1
220,P21,C,M3,P21-C-M3
221,P06,B,M4,P06-B-M4
222,P24,C,M3,P24-C-M3
223,P22,A,M2,P22-A-M2
224,P13,A,M4,P13-A-M4
225,P10,C,M3,P10-C-M3
226,P02,B,M2,P02-B-M2
227,P14,C,M3,P14-C-M3
228,P18,C,M1,P18-C-M1
229,P08,A,M3,P08-A-M3
230,P25,C,M4,P25-C-M4
231,P16,A,M4,P16-A-M4
232,P05,B,M1,P05-B-M1
233,P26,C,M2,P26-C-M2
234,P17,B,M4,P17-B-M4
235,P23,A,M4,P23-A-M4
236,P28,B,M3,P28-B-M3
237,P03,C,M3,P03-C-M3
238,P29,B,M4,P29-B-M4
239,P27,A,M1,P27-A-M1
240,P12,B,M4,P12-B-M4
241,P20,C,M3,P20-C-M3
242,P04,B,M4,P04-B-M4
243,P09,A,M2,P09-A-M2
244,P30,B,M2,P30-B-M2
245,P19,A,M3,P19-A-M3
246,P22,C,M3,P22-C-M3
247,P11,C,M4,P11-C-M4
248,P15,B,M2,P15-B-M2
249,P07,A,M1,P07-A-M1
250,P10,A,M2,P10-A-M2
251,P06,C,M1,P06-C-M1
252,P24,B,M4,P24-B-M4
253,P01,B,M1,P01-B-M1
254,P14,A,M3,P14-A-M3
255,P13,C,M3,P13-C-M3
256,P16,C,M3,P16-C-M3
257,P26,A,M1,P26-A-M1
258,P21,B,M3,P21-B-M3
259,P02,C,M1,P02-C-M1
260,P18,B,M2,P18-B-M2
261,P23,C,M3,P23-C-M3
262,P28,C,M4,P28-C-M4
263,P05,C,M2,P05-C-M2
264,P08,B,M2,P08-B-M2
265,P25,A,M1,P25-A-M1
266,P17,A,M3,P17-A-M3
267,P03,A,M2,P03-A-M2
268,P27,C,M2,P27-C-M2
269,P19,B,M2,P19-B-M2
270,P29,A,M4,P29-A-M4
271,P20,B,M2,P20-B-M2
272,P09,B,M1,P09-B-M1
273,P30,C,M2,P30-C-M2
274,P04,C,M3,P04-C-M3
275,P12,C,M2,P12-C-M2
276,P22,B,M3,P22-B-M3
277,P15,C,M2,P15-C-M2
278,P10,B,M3,P10-B-M3
279,P01,A,M4,P01-A-M4
280,P24,C,M4,P24-C-M4
281,P21,A,M2,P21-A-M2
282,P07,C,M2,P07-C-M2
283,P18,A,M3,P18-A-M3
284,P11,A,M2,P11-A-M2
285,P26,B,M1,P26-B-M1
286,P13,A,M2,P13-A-M2
287,P02,B,M3,P02-B-M3
288,P23,A,M2,P23-A-M2
289,P28,B,M1,P28-B-M1
290,P05,B,M3,P05-B-M3
291,P14,B,M3,P14-B-M3
292,P03,C,M2,P03-C-M2
293,P27,A,M3,P27-A-M3
294,P06,A,M2,P06-A-M2
295,P08,C,M2,P08-C-M2
296,P29,C,M2,P29-C-M2
297,P25,B,M1,P25-B-M1
298,P22,A,M4,P22-A-M4
299,P19,C,M4,P19-C-M4
300,P16,B,M2,P16-B-M2
301,P12,A,M3,P12-A-M3
302,P30,A,M4,P30-A-M4
303,P09,C,M1,P09-C-M1
304,P24,A,M2,P24-A-M2
305,P20,A,M3,P20-A-M3
306,P17,B,M2,P17-B-M2
307,P04,A,M1,P04-A-M1
308,P07,B,M4,P07-B-M4
309,P28,C,M3,P28-C-M3
310,P10,C,M2,P10-C-M2
311,P01,B,M2,P01-B-M2
312,P26,C,M4,P26-C-M4
313,P18,C,M2,P18-C-M2
314,P23,B,M3,P23-B-M3
315,P11,B,M4,P11-B-M4
316,P21,C,M1,P21-C-M1
317,P02,A,M3,P02-A-M3
318,P05,A,M1,P05-A-M1
319,P13,B,M3,P13-B-M3
320,P14,C,M2,P14-C-M2
321,P15,B,M1,P15-B-M1
322,P03,B,M1,P03-B-M1
323,P25,C,M2,P25-C-M2
324,P08,A,M4,P08-A-M4
325,P20,B,M4,P20-B-M4
326,P29,B,M2,P29-B-M2
327,P27,B,M3,P27-B-M3
328,P04,B,M2,P04-B-M2
329,P12,B,M2,P12-B-M2
330,P30,B,M1,P30-B-M1
331,P16,A,M2,P16-A-M2
332,P06,B,M2,P06-B-M2
333,P24,B,M1,P24-B-M1
334,P22,A,M3,P22-A-M3
335,P01,C,M3,P01-C-M3
336,P10,A,M1,P10-A-M1
337,P09,A,M3,P09-A-M3
338,P17,A,M1,P17-A-M1
339,P18,B,M3,P18-B-M3
340,P19,B,M4,P19-B-M4
341,P21,A,M4,P21-A-M4
342,P23,C,M1,P23-C-M1
343,P02,C,M4,P02-C-M4
344,P26,A,M4,P26-A-M4
345,P07,A,M3,P07-A-M3
346,P28,A,M2,P28-A-M2
347,P13,A,M1,P13-A-M1
348,P12,A,M4,P12-A-M4
349,P25,A,M2,P25-A-M2
350,P22,B,M2,P22-B-M2
351,P04,C,M1,P04-C-M1
352,P11,A,M3,P11-A-M3
353,P05,B,M4,P05-B-M4
354,P20,C,M4,P20-C-M4
355,P29,A,M2,P29-A-M2
356,P15,C,M3,P15-C-M3
357,P19,A,M1,P19-A-M1
358,P27,C,M4,P27-C-M4
359,P09,B,M2,P09-B-M2
360,P18,A,M4,P18-A-M4
